letter,word,category,example_sentences,chinese_word,chinese_example,word_english,example_sentences_english
K,kaputt,Allgemein/Grammatik,Das Glas war teuer. Es geht sehr leicht kaputt.,坏了的,这个玻璃杯很贵。它很容易坏。,broken,The glass was expensive. It breaks very easily.
K,"die Karte, -n",Reisen/Verkehr,"Ich schreibe meinen Bekannten eine Karte aus dem | Urlaub. | Wollen wir Karten spielen? | Ich möchte auch etwas essen. Bringen Sie mir die Karte, | bitte.",卡片；地图；菜单,我从假期给熟人写一张明信片。| 我们玩牌吗？| 我也想吃点东西。请把菜单给我。,card; menu; map,"I am writing a card to my acquaintances from vacation. | Shall we play cards? | I would also like something to eat. Bring me the menu, please."
K,"(Kredit)-Karte, -n",Einkaufen/Gebrauchsartikel,Kann ich auch mit Karte (be-) zahlen?,信用卡；卡,我也可以用卡付款吗？,credit card; card,Can I also pay by card?
K,"die Kartoffel, -n",Essen/Trinken,Für Pommes frites braucht man Kartoffeln.,土豆,做薯条需要土豆。,potato,You need potatoes for French fries.
K,die Kasse,Einkaufen/Gebrauchsartikel,Zahlen Sie bitte an der Kasse.,收银台,请在收银台付款。,cash register; checkout,Please pay at the checkout.
K,kaufen,Einkaufen/Gebrauchsartikel,Tim kauft sich ein neues Auto.,买,蒂姆给自己买了一辆新车。,to buy,Tim is buying himself a new car.
K,kein,Allgemein/Grammatik,Es gibt keine Eintrittskarten mehr.,没有；不是一个,已经没有入场券了。,no; not any,There are no admission tickets left.
K,kennen,Allgemein/Grammatik,"Kennen Sie diese Frau? – Nein, leider nicht.",认识；知道,您认识这位女士吗？——不，很遗憾不认识。,to know; to be acquainted with,"Do you know this woman? - No, unfortunately not."
K,kennenlernen,Erziehung/Ausbildung/Lernen,Wir sind neu hier. Wir möchten Sie kennenlernen.,认识；结识,我们是新来的。我们想认识您。,to get to know,We are new here. We would like to get to know you.
K,"das Kind, -er",Person,Wie viele Kinder haben Sie?,孩子,您有几个孩子？,child,How many children do you have?
K,der Kindergarten,Wohnen,Die kleine Laura geht schon in den Kindergarten.,幼儿园,小劳拉已经上幼儿园了。,kindergarten,Little Laura already goes to kindergarten.
K,"das Kino, -s",Freizeit/Unterhaltung,Wir sehen heute Abend im Kino einen schönen Film.,电影院,我们今晚在电影院看一部好电影。,cinema,Tonight we are seeing a nice film at the cinema.
K,der Kiosk,Allgemein/Grammatik,"Am Kiosk bekommen Sie Getränke, Zigaretten und | Zeitungen.",小卖亭,在小卖亭可以买到饮料、香烟和报纸。,kiosk,"At the kiosk you can get drinks, cigarettes, and newspapers."
K,klar,Allgemein/Grammatik,Kommst du mit? – Klar!,清楚的；当然,你一起去吗？——当然！,clear; of course,Are you coming along? - Of course!
K,die Klasse,Erziehung/Ausbildung/Lernen,In unserer Klasse sind fünfundzwanzig Schüler. | Im Zug fahre ich immer 2. Klasse.,班级；等级,我们班有二十五名学生。| 坐火车我总是坐二等座。,class; grade,There are twenty-five students in our class. | On the train I always travel second class.
K,die Kleidung,Einkaufen/Gebrauchsartikel,"Wo finde ich Kleidung? – Jacken im ersten, Jeans im | zweiten Stock.",衣服,我在哪里能找到衣服？——夹克在一楼，牛仔裤在二楼。,clothing,"Where can I find clothing? Jackets on the first floor, jeans on the second floor."
K,klein,Person,Eltville ist eine kleine Stadt am Rhein.,小的,埃尔特维勒是莱茵河边的一座小城。,small,Eltville is a small town on the Rhine.
K,kochen,Essen/Trinken,Herr Georgi kann gut kochen.,做饭,格奥尔基先生很会做饭。,to cook,Mr. Georgi can cook well.
K,"der Koffer, –",Reisen/Verkehr,Ist das Ihr Koffer?,行李箱,这是您的行李箱吗？,suitcase,Is that your suitcase?
K,"der Kollege, -n",Arbeit/Beruf,Wie heißt die neue Kollegin?,同事,新女同事叫什么名字？,colleague,What is the new colleague's name?
K,kommen,Allgemein/Grammatik,Woher kommen Sie? – Aus Frankreich. | Kommst du mit ins Schwimmbad?,来；来自,您来自哪里？——来自法国。| 你一起去游泳池吗？,to come,Where do you come from? - From France. | Are you coming along to the swimming pool?
K,können,Allgemein/Grammatik,Ich kann Deutsch und Russisch. | Können Sie mir helfen?,能够；会,我会德语和俄语。| 您能帮我吗？,can; to be able to,I can speak German and Russian. | Can you help me?
K,das Konto,Dienstleistungen,Das Geld überweisen wir am ersten März auf Ihr Konto.,账户,我们三月一日把钱转到您的账户上。,account,We will transfer the money to your account on March first.
K,der Kopf,Gesundheit/Körper,Mein Kopf tut weh!,头,我的头疼！,head,My head hurts!
K,kosten,Einkaufen/Gebrauchsartikel,Wie viel kostet das? – 10 Euro.,花费；价格是,这多少钱？——10欧元。,to cost,How much does that cost? - 10 euros.
K,krank,Gesundheit/Körper,"Ich kann heute nicht zur Arbeit kommen, ich bin krank | und liege im Bett.",生病的,我今天不能来上班，我病了，躺在床上。,sick,I cannot come to work today; I am sick and lying in bed.
K,kriegen,Allgemein/Grammatik,Ich kriege 15 Euro in der Stunde für meine Arbeit.,得到；挣得,我的工作每小时挣15欧元。,to get; to receive,I get 15 euros an hour for my work.
K,die Küche,Wohnen,Der neue Herd kommt in die Küche.,厨房,新炉灶放进厨房。,kitchen,The new stove goes in the kitchen.
K,der Kugelschreiber,Einkaufen/Gebrauchsartikel,Hast du einen Kugelschreiber für mich?,圆珠笔,你有一支圆珠笔给我吗？,ballpoint pen,Do you have a ballpoint pen for me?
K,der Kühlschrank,Wohnen,"Haben wir noch Milch? – Ja, im Kühlschrank.",冰箱,我们还有牛奶吗？——有，在冰箱里。,refrigerator,"Do we still have milk? - Yes, in the refrigerator."
K,kulturell,Freizeit/Unterhaltung,Ich bin kulturell interessiert. Ich gehe oft ins Museum.,文化的,我对文化感兴趣。我经常去博物馆。,cultural,I am interested in culture. I often go to the museum.
K,sich kümmern,Allgemein/Grammatik,Jede Mutter kümmert sich um ihre kleinen Kinder.,照顾；关心,每位母亲都照顾自己的小孩子。,to take care of,Every mother takes care of her small children.
K,"der Kunde, -n",Einkaufen/Gebrauchsartikel,"Einen Moment, bitte. Ich habe eine Kundin.",顾客,请稍等。我有一位女顾客。,customer,"One moment, please. I have a customer."
K,"der Kurs, -e",Erziehung/Ausbildung/Lernen,Der Deutschkurs geht bis zum Sommer.,课程,德语课程一直到夏天。,course,The German course runs until summer.
K,kurz,Allgemein/Grammatik,Ricardo hat kurzes Haar.,短的,里卡多有短头发。,short,Ricardo has short hair.
L,lachen,Freizeit/Unterhaltung,Die Kinder lachen viel.,笑,孩子们笑得很多。,to laugh,The children laugh a lot.
L,"der Laden, -ä",Einkaufen/Gebrauchsartikel,Im Buchladen können Sie Bücher kaufen.,商店,在书店可以买书。,shop; store,You can buy books in the bookstore.
L,"das Land, -ä, er",Umwelt,Italien ist ein schönes Land.,国家；乡村,意大利是一个美丽的国家。,country; land,Italy is a beautiful country.
L,lang,Allgemein/Grammatik,Die Jeans ist zu lang.,长的,这条牛仔裤太长了。,long,The jeans are too long.
L,lange,Zeit/Datum,Wie lange fährt der Zug von Hamburg nach Berlin?,长时间,从汉堡到柏林火车要开多久？,for a long time; long,How long does the train take from Hamburg to Berlin?
L,langsam,Allgemein/Grammatik,Könnten Sie bitte etwas langsamer sprechen?,慢慢地,您能说得稍微慢一点吗？,slow,Could you please speak a little more slowly?
L,laufen,Allgemein/Grammatik,"Ich möchte nicht Auto fahren, ich möchte laufen.",跑；走路,我不想开车，我想步行。,to run; to walk,I do not want to drive; I want to walk.
L,laut,Allgemein/Grammatik,Nicht so laut! Das Baby schläft.,大声的；吵的,别这么大声！宝宝在睡觉。,loud,Not so loud! The baby is sleeping.
L,leben,Allgemein/Grammatik,Sie lebt bei ihrer Schwester. | Ihre Eltern leben nicht mehr.,生活；活着,她和姐姐住在一起。| 她的父母已经不在人世了。,to live,She lives with her sister. | Her parents are no longer alive.
L,das Leben,Allgemein/Grammatik,Das Leben in diesem Land ist teuer.,生活,这个国家的生活很贵。,life,Life in this country is expensive.
L,die Lebens- mittel (pl.),Essen/Trinken,Lebensmittel bekommen Sie im Supermarkt.,食品,食品可以在超市买到。,groceries; food,You can get groceries at the supermarket.
L,ledig,Person,Sind Sie verheiratet? – Nein. Ledig.,未婚的,您结婚了吗？——没有，未婚。,single; unmarried,Are you married? - No. Single.
L,legen,Allgemein/Grammatik,Legen Sie das Buch auf den Tisch.,放置；平放,请把书放在桌子上。,to lay; to put,Put the book on the table.
L,"der Lehrer, –",Erziehung/Ausbildung/Lernen,Unsere Deutschlehrerin heißt Frau Müller.,老师,我们的德语女老师叫米勒女士。,teacher,Our German teacher is called Ms. Müller.
L,leicht,Allgemein/Grammatik,Der Koffer ist leicht. | Deutsch ist nicht leicht.,轻的；容易的,这个行李箱很轻。| 德语不容易。,light; easy,The suitcase is light. | German is not easy.
L,leider,Allgemein/Grammatik,Leider kann ich nicht kommen. Ich muss zum Arzt.,遗憾地,很遗憾我不能来。我必须去看医生。,unfortunately,Unfortunately I cannot come. I have to go to the doctor.
L,leise,Allgemein/Grammatik,Seid leise. Die anderen schlafen schon.,小声的；安静的,安静点。其他人已经睡了。,quiet,Be quiet. The others are already sleeping.
L,lernen,Erziehung/Ausbildung/Lernen,Wie lange lernen Sie schon Deutsch?,学习,你学德语多久了？,to learn,How long have you been learning German?
L,lesen,Freizeit/Unterhaltung,Ich lese ein Buch von García Márquez.,读；阅读,我在读加西亚·马尔克斯的一本书。,to read,I am reading a book by García Márquez.
L,letzt- die Leute (pl.),Person,Morgen ist der letzte Kurstag. | In der Disko sind viele Leute.,最后的；人们,明天是最后一节课。| 迪斯科里有很多人。,last; people,Tomorrow is the last day of the course. | There are many people in the disco.
L,das Licht,Wohnen,Wo macht man hier das Licht an?,灯；光,这里在哪里开灯？,light,Where do you turn on the light here?
L,lieb- lieben,Allgemein/Grammatik,"Liebe Susanne, lieber Hans, | Ich liebe dich!",亲爱的；爱,亲爱的苏珊娜，亲爱的汉斯，| 我爱你！,dear; to love,"Dear Susanne, dear Hans, | I love you!"
L,lieber,Allgemein/Grammatik,Sie fährt lieber mit der Bahn.,更愿意,她更愿意坐火车。,preferably; rather,She prefers to travel by train.
L,"Lieblings- das Lied, -er",Freizeit/Unterhaltung,Mein Lieblingsfilm ist „Schwarze Augen“. | Welches ist dein Lieblingslied?,最喜欢的；歌曲,我最喜欢的电影是《黑眼睛》。| 你最喜欢的歌是哪一首？,favorite; song,My favorite film is Black Eyes. | Which is your favorite song?
L,liegen,Allgemein/Grammatik,Um neun Uhr liegt Judith noch im Bett. | Frankfurt liegt am Main.,躺；位于,九点钟朱迪特还躺在床上。| 法兰克福位于美因河畔。,to lie; to be located,At nine o'clock Judith is still lying in bed. | Frankfurt is located on the Main.
L,links,Allgemein/Grammatik,Gehen Sie die nächste Straße links.,左边,请在下一条街向左走。,left,Take the next street left.
L,"der Lkw, -s",Reisen/Verkehr,Dieser Lastkraftwagen ist sehr groß.,卡车,这辆卡车非常大。,truck,This truck is very large.
L,das Lokal,Essen/Trinken,In unserer Straße gibt es ein neues Lokal.,餐馆；小店,我们街上有一家新餐馆。,pub; restaurant,There is a new restaurant in our street.
L,"die Lösung, -en",Erziehung/Ausbildung/Lernen,Die Lösung ist ganz einfach.,解决办法；答案,解决办法很简单。,solution,The solution is very simple.
L,lustig,Allgemein/Grammatik,Frau Mertens ist lustig. Sie lacht immer.,有趣的,默滕斯女士很有趣。她总是笑。,funny,Ms. Mertens is funny. She always laughs.
M,machen,Allgemein/Grammatik,Was machst du heute Abend? | Das macht 5 Euro 95. | Das macht nichts.,做；总共是,你今天晚上做什么？| 一共5欧元95分。| 没关系。,to do; to make,What are you doing tonight? | That comes to 5 euros 95. | That does not matter.
M,"das Mädchen, –",Person,Familie Kurz bekommt ein Baby. – Junge oder Mädchen?,女孩,库尔茨家要有宝宝了。——男孩还是女孩？,girl,The Kurz family is having a baby. Boy or girl?
M,man,Allgemein/Grammatik,Hier darf man nicht rauchen.,人们；可以,这里不可以吸烟。,one; people; you,One is not allowed to smoke here.
M,"der Mann, -ä, er",Person,Mein Mann arbeitet bei der Polizei.,男人；丈夫,我丈夫在警察局工作。,man; husband,My husband works for the police.
M,männlich,Person,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,男性的,请勾选：“女性”或“男性”。,male,Please tick: female or male.
M,"die Maschine, -n",Einkaufen/Gebrauchsartikel,Die Waschmaschine ist günstig.,机器,这台洗衣机很便宜。,machine,The washing machine is inexpensive.
M,das Meer,Umwelt,Wir machen Urlaub am Meer.,海,我们去海边度假。,sea,We are going on vacation by the sea.
M,mehr,Allgemein/Grammatik,Dieses Auto kostet 1.000 Euro mehr als das andere.,更多；再,这辆车比另一辆贵1000欧元。,more,"This car costs 1,000 euros more than the other one."
M,mein,Person,Mein Vater ist Arzt.,我的,我的父亲是医生。,my,My father is a doctor.
M,"meist- der Mensch, -en",Person,Die meisten Norddeutschen sind sehr groß. | Die Menschen sind hier anders als bei uns.,大多数；人,大多数北德人很高。| 这里的人和我们那里不一样。,most; person; human,Most northern Germans are very tall. | People are different here than where we come from.
M,mieten,Wohnen,Ich möchte ein Auto mieten.,租用,我想租一辆车。,to rent,I would like to rent a car.
M,die Miete,Wohnen,Die Miete für diese Wohnung ist 600 Euro.,房租,这套公寓的租金是600欧元。,rent,The rent for this apartment is 600 euros.
M,die Milch,Essen/Trinken,Die Milch steht im Kühlschrank.,牛奶,牛奶在冰箱里。,milk,The milk is in the refrigerator.
M,mit,Allgemein/Grammatik,Trinken Sie den Kaffee mit Milch?,和；带有,您喝咖啡加牛奶吗？,with,Do you drink coffee with milk?
M,mitbringen,Allgemein/Grammatik,Ich gehe einkaufen. Soll ich dir was mitbringen?,带来,我去购物。要我给你带点什么吗？,to bring along,I am going shopping. Should I bring you something?
M,mitkommen,Allgemein/Grammatik,Ich gehe ins Kino. Kommst du mit?,一起去,我去电影院。你一起去吗？,to come along,I am going to the cinema. Are you coming along?
M,mitmachen,Allgemein/Grammatik,Warum macht ihr nicht mit?,参加,你们为什么不参加？,to join in; to take part,Why are you not joining in?
M,mitnehmen,Allgemein/Grammatik,Nehmen wir meine Schwester ins Kino mit?,带上,我们带我妹妹一起去电影院吗？,to take along,Shall we take my sister to the cinema?
M,die Mitte,Allgemein/Grammatik,Der Lehrer steht in der Mitte des Klassenzimmers.,中间,老师站在教室中间。,middle,The teacher is standing in the middle of the classroom.
M,die Möbel (pl.),Wohnen,Sind die Möbel neu?,家具,这些家具是新的吗？,furniture,Is the furniture new?
M,möchten,Allgemein/Grammatik,Was möchten Sie trinken?,想要,您想喝什么？,would like,What would you like to drink?
M,mögen,Allgemein/Grammatik,Magst du Kaffee oder Tee?,喜欢,你喜欢咖啡还是茶？,to like,Do you like coffee or tea?
M,möglich,Allgemein/Grammatik,Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.,可能的,用这张车票，9点以后可以乘车。,possible,"With this ticket, travel is possible from 9 o'clock."
M,der Moment,Zeit/Datum,Moment mal bitte! | Einen Moment bitte.,片刻,请等一下！| 请稍等片刻。,moment,"Just a moment, please! | One moment, please."
M,morgen,Zeit/Datum,Morgen beginnt die Schule um 10 Uhr.,明天,明天学校10点开始。,tomorrow,School starts at 10 o'clock tomorrow.
M,müde,Gesundheit/Körper,Ich bin müde. Ich gehe schlafen.,累的,我累了。我要去睡觉。,tired,I am tired. I am going to sleep.
M,der Mund,Gesundheit/Körper,Öffnen Sie den Mund.,嘴,请张开嘴。,mouth,Open your mouth.
M,müssen,Allgemein/Grammatik,Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.,必须,我每天必须从8点工作到18点。,must; to have to,I have to work every day from 8 a.m. to 6 p.m.
M,"die Mutter, -ü",Person,Frau Berghäuser ist die Mutter von Michaela.,母亲,贝格霍伊泽女士是米凯拉的母亲。,mother,Mrs. Berghäuser is Michaela's mother.
N,nach,Allgemein/Grammatik,Ich gehe jetzt nach Hause. | Ich fliege nach München. | Es ist schon 5 nach 12.,去；到；在……后,我现在回家。| 我飞往慕尼黑。| 现在是12点过5分。,after; to; past,I am going home now. | I am flying to Munich. | It is already five past twelve.
N,"nächst- der Name, -n",Person,Sehen wir uns nächste Woche? | Mein Name ist Thomas Schmidt. | Mein Vorname ist Thomas; Schmidt ist der Familienname.,下一个；名字,我们下周见面吗？| 我的名字是托马斯·施密特。| 我的名是托马斯；施密特是姓。,next; name,Will we see each other next week? | My name is Thomas Schmidt. | My first name is Thomas; Schmidt is the family name.
N,nehmen,Allgemein/Grammatik,Heute gibt es Hähnchen. Das nehme ich. | Ich nehme den Bus.,拿；乘坐；要,今天有烤鸡。我就要这个。| 我坐公交车。,to take,There is chicken today. I will take that. | I will take the bus.
N,nein,Allgemein/Grammatik,"Fährst du auch nach München? – Nein, ich habe keine | Zeit.",不,你也去慕尼黑吗？——不，我没有时间。,no,"Are you also going to Munich? - No, I do not have time."
N,neu,Allgemein/Grammatik,Ich bin der neue Kollege. | Wir haben eine neue Wohnung.,新的,我是新同事。| 我们有一套新公寓。,new,I am the new colleague. | We have a new apartment.
N,nicht,Allgemein/Grammatik,"Das stimmt nicht. | Das ist doch schön, nicht?",不,这不对。| 这很漂亮，不是吗？,not,"That is not correct. | That is nice, isn't it?"
N,nichts,Allgemein/Grammatik,Das macht nichts. | Hier kaufe ich nichts. Der Laden gefällt mir nicht.,没什么；没有东西,没关系。| 我在这里什么都不买。这个店我不喜欢。,nothing,That does not matter. | I am not buying anything here. I do not like the shop.
N,noch,Allgemein/Grammatik,Vielleicht kommt er noch. | Wir warten noch fünf Minuten. | Ich habe noch 20 Euro.,还；仍然,也许他还会来。| 我们再等五分钟。| 我还有20欧元。,still; yet; more,Maybe he will still come. | We will wait another five minutes. | I still have 20 euros.
N,normal,Allgemein/Grammatik,75 kg. Sein Gewicht ist normal.,正常的,75公斤。他的体重正常。,normal,75 kg. His weight is normal.
N,"die Nummer, -n",Allgemein/Grammatik,Sie haben Zimmer Nummer zwölf. | Welche Hausnummer haben Sie? | Können Sie mir Ihre Nummer geben?,号码；编号,您的房间是12号。| 您的门牌号是多少？| 您能给我您的号码吗？,number,You have room number twelve. | What is your house number? | Can you give me your number?
N,nur,Allgemein/Grammatik,Ich möchte nur ein Glas Wasser.,只；仅仅,我只想要一杯水。,only; just,I would like only a glass of water.
O,oben,Allgemein/Grammatik,Ich wohne oben.,上面,我住在上面。,above; upstairs,I live upstairs.
O,das Obst,Essen/Trinken,Im Sommer ist das Obst billig.,水果,夏天水果便宜。,fruit,Fruit is cheap in summer.
O,oder,Allgemein/Grammatik,Wann können Sie kommen – heute oder morgen?,或者,您什么时候能来——今天还是明天？,or,"When can you come, today or tomorrow?"
O,öffnen,Allgemein/Grammatik,Ich öffne die Tür.,打开,我打开门。,to open,I open the door.
O,geöffnet,Allgemein/Grammatik,Der Laden ist samstags bis 16.00 Uhr geöffnet.,营业的；开着的,这家店星期六营业到16点。,open,The shop is open until 4 p.m. on Saturdays.
O,oft,Zeit/Datum,Petra treffe ich oft.,经常,我经常见到佩特拉。,often,I often meet Petra.
O,ohne,Allgemein/Grammatik,Ohne Geld kann er nichts kaufen.,没有；不带,没有钱他什么也买不了。,without,Without money he cannot buy anything.
O,das Öl,Allgemein/Grammatik,Den Salat machen wir ohne Öl.,油,我们做沙拉不放油。,oil,We make the salad without oil.
O,"die Oma, -s",Person,Meine Oma ist schon tot.,奶奶；外婆,我的奶奶已经去世了。,grandma,My grandma has already died.
O,"der Opa, -s",Person,Mein Opa heißt Hans.,爷爷；外公,我的爷爷叫汉斯。,grandpa,My grandpa's name is Hans.
O,die Ordnung,Wohnen,Das ist in Ordnung.,秩序；没问题,没问题。,order; okay,That is okay.
O,"der Ort, -e",Reisen/Verkehr,Der Ort liegt am Meer.,地点；地方,这个地方位于海边。,place; town,The place is by the sea.
P,das Papier,Einkaufen/Gebrauchsartikel,Hier sind Papier und Bleistift.,纸,这里有纸和铅笔。,paper,Here are paper and pencil.
P,die Papiere (pl.),Einkaufen/Gebrauchsartikel,Haben Sie Ihre Papiere dabei?,证件；文件,您带着您的证件吗？,papers; documents,Do you have your papers with you?
P,"der Partner, -/die Partnerin, -nen",Person,Sie ist meine Partnerin.,伴侣；伙伴,她是我的伴侣。,partner,She is my partner.
P,die Party,Freizeit/Unterhaltung,Heute Abend machen wir eine Party.,派对,今天晚上我们办一个派对。,party,Tonight we are having a party.
P,"der Pass, -ä, e",Person,Im Hotel brauchst du deinen Pass.,护照,在酒店你需要你的护照。,passport,You need your passport at the hotel.
P,"die Pause, -n",Zeit/Datum,Von 12.00 bis 12.30 Uhr haben wir Mittagspause.,休息,12点到12点30分我们午休。,break,We have a lunch break from 12:00 to 12:30.
P,"der Plan, -ä, e",Reisen/Verkehr,Ich kaufe mir einen Stadtplan.,计划；地图,我给自己买一张城市地图。,plan; map,I am buying myself a city map.
P,"der Platz, -ä, e",Reisen/Verkehr,"Tut mir leid, der Platz ist besetzt. | Bitte nehmen Sie Platz! | Ich wohne Messeplatz 5.",位置；座位；广场,对不起，这个座位有人了。| 请坐！| 我住在展览广场5号。,place; seat; square,"Sorry, the seat is taken. | Please take a seat! | I live at Messeplatz 5."
P,die Polizei,Dienstleistungen,Holen Sie die Polizei!,警察,叫警察！,police,Call the police!
P,die Pommes frites (pl.),Essen/Trinken,Die Kinder essen Hähnchen mit Pommes frites.,薯条,孩子们吃烤鸡配薯条。,French fries,The children are eating chicken with French fries.
P,die Post,Dienstleistungen,"Wo ist die Post, bitte? | Ist Post da?",邮局；邮件,请问邮局在哪里？| 有邮件吗？,post office; mail,"Where is the post office, please? | Is there any mail?"
P,die Postleitzahl,Person,Wie ist Ihre Postleitzahl?,邮政编码,您的邮政编码是多少？,postal code,What is your postal code?
P,das Praktikum,Arbeit/Beruf,Ich mache ein Praktikum bei Siemens.,实习,我在西门子实习。,internship,I am doing an internship at Siemens.
P,die Praxis,Gesundheit/Körper,Die Praxis ist ab acht Uhr geöffnet.,诊所；诊室,诊所从八点开始营业。,practice; doctor's office,The practice is open from eight o'clock.
P,"der Preis, -e",Einkaufen/Gebrauchsartikel,Die Preise sind hoch.,价格,价格很高。,price,The prices are high.
P,"das Problem, -e",Allgemein/Grammatik,Mein Problem ist die Sprache.,问题,我的问题是语言。,problem,My problem is the language.
P,"der Prospekt, -e",Einkaufen/Gebrauchsartikel,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,宣传册,请寄给我一份您酒店的宣传册。,brochure,Please send me a brochure for your hotel.
P,die Prüfung,Erziehung/Ausbildung/Lernen,Die Prüfung ist am Montag um 8.00 Uhr.,考试,考试在星期一早上8点。,exam,The exam is on Monday at 8 a.m.
P,pünktlich,Zeit/Datum,Der Bus fährt pünktlich um acht Uhr. | Herr Müller ist immer pünktlich.,准时的,公交车八点准时开。| 米勒先生总是准时。,punctual,The bus leaves punctually at eight o'clock. | Mr. Müller is always punctual.
R,Rad fahren,Freizeit/Unterhaltung,Das Kind kann schon Rad fahren.,骑自行车,这个孩子已经会骑自行车了。,to ride a bicycle,The child can already ride a bicycle.
R,rauchen,Gesundheit/Körper,Ich rauche nicht.,吸烟,我不吸烟。,to smoke,I do not smoke.
R,"der Raum, -ä, e",Wohnen,Der Unterricht ist in Raum 332.,房间；空间,课在332教室。,room,The class is in room 332.
R,"die Rechnung, -en",Einkaufen/Gebrauchsartikel,"Die Rechnung, bitte.",账单,请结账。,bill; invoice,"The bill, please."
R,rechts,Allgemein/Grammatik,Die Schillerstraße ist hier rechts.,右边,席勒街在这里右边。,right,Schillerstraße is to the right here.
R,regnen,Umwelt,Heute regnet es.,下雨,今天下雨。,to rain,It is raining today.
R,der Regen,Umwelt,Bei diesem Regen gehe ich nicht raus.,雨,这种雨天我不出去。,rain,I am not going out in this rain.
R,der Reis,Essen/Trinken,Ich esse gern Reis.,米饭,我喜欢吃米饭。,rice,I like eating rice.
R,reisen,Reisen/Verkehr,Ich reise gern.,旅行,我喜欢旅行。,to travel,I like traveling.
R,die Reise,Reisen/Verkehr,Wir machen eine Reise nach Österreich.,旅行,我们去奥地利旅行。,trip; journey,We are taking a trip to Austria.
R,"das Reisebüro, -s",Reisen/Verkehr,Mein Mann arbeitet im Reisebüro.,旅行社,我丈夫在旅行社工作。,travel agency,My husband works at a travel agency.
R,der Reiseführer,Reisen/Verkehr,Ich kaufe mir einen Reiseführer von Berlin. | Unser Reiseführer heißt Peter.,旅游指南；导游,我给自己买一本柏林旅游指南。| 我们的导游叫彼得。,travel guide; tour guide,I am buying a travel guide for Berlin. | Our tour guide is called Peter.
R,reparieren,Wohnen,Er hat das Fahrrad repariert.,修理,他修好了自行车。,to repair,He repaired the bicycle.
R,die Reparatur,Wohnen,Die Reparatur ist sehr teuer.,修理；维修,维修很贵。,repair,The repair is very expensive.
R,"das Restaurant, -s",Essen/Trinken,Wir essen heute in einem Restaurant.,餐馆,我们今天在一家餐馆吃饭。,restaurant,We are eating in a restaurant today.
R,die Rezeption,Reisen/Verkehr,Fragen Sie bitte im Hotel an der Rezeption.,前台；接待处,请在酒店前台询问。,reception,Please ask at the hotel reception.
R,richtig,Allgemein/Grammatik,Habe ich das richtig verstanden? | Das ist richtig.,正确的；对的,我理解得对吗？| 这是对的。,right; correct,Did I understand that correctly? | That is correct.
R,riechen,Gesundheit/Körper,Dieser Wein riecht gut.,闻起来,这种葡萄酒闻起来很好。,to smell,This wine smells good.
R,ruhig,Allgemein/Grammatik,Ich möchte ein ruhiges Zimmer.,安静的,我想要一间安静的房间。,quiet; calm,I would like a quiet room.
S,der Saft,Essen/Trinken,Möchtest du einen Apfelsaft?,果汁,你想要一杯苹果汁吗？,juice,Would you like apple juice?
S,sagen,Kommunikation/Sprache,"Sag mal, wie geht es dir denn?",说,说说看，你好吗？,to say,"Tell me, how are you?"
S,der Salat,Essen/Trinken,Wie schmeckt dir der Salat?,沙拉,你觉得这个沙拉味道怎么样？,salad,How do you like the salad?
S,das Salz,Essen/Trinken,"Herr Ober, kann ich bitte Salz haben?",盐,服务员先生，我可以要盐吗？,salt,"Waiter, may I have some salt, please?"
S,"Satz, -ä, e",Erziehung/Ausbildung/Lernen,Dieser Satz ist sehr einfach.,句子,这个句子很简单。,sentence,This sentence is very easy.
S,die S-Bahn,Reisen/Verkehr,Ich nehme lieber die S-Bahn.,城市快铁,我更愿意坐城市快铁。,city train; S-Bahn,I prefer taking the S-Bahn.
S,der Schalter,Dienstleistungen,Gehen Sie bitte zum Schalter drei!,柜台；开关,请去三号柜台！,counter,Please go to counter three!
S,scheinen,Umwelt,Die Sonne scheint.,照耀；似乎,太阳在照耀。,to shine,The sun is shining.
S,schicken,Dienstleistungen,Bitte schicken Sie mir eine E-Mail.,发送；寄,请给我发送一封电子邮件。,to send,Please send me an email.
S,"das Schild, -er",Einkaufen/Gebrauchsartikel,Haben Sie nicht das Schild gesehen?,标牌,您没有看到那个标牌吗？,sign,Did you not see the sign?
S,"der Schinken, –",Essen/Trinken,Ich möchte gern ein Schinkenbrot.,火腿,我想要一个火腿面包。,ham,I would like a ham sandwich.
S,schlafen,Gesundheit/Körper,Ich schlafe meistens acht Stunden.,睡觉,我通常睡八个小时。,to sleep,I usually sleep eight hours.
S,schlecht,Allgemein/Grammatik,Mir ist schlecht! | Sie sehen schlecht aus. | Wir haben schlechtes Wetter.,差的；不舒服,我不舒服！| 您看起来气色不好。| 我们天气不好。,bad; sick,I feel sick! | You look bad. | We have bad weather.
S,schließen,Allgemein/Grammatik,"Bitte, schließen Sie die Tür.",关上；关闭,请把门关上。,to close,Please close the door.
S,geschlossen,Allgemein/Grammatik,Die Bank hat am Samstag geschlossen.,关门的；关闭的,银行星期六关门。,closed,The bank is closed on Saturday.
